CollectionSurveyKey,CollectionUnitKey,ScbId,VeNr,CUParentStatusCode,CUStatusCode,IndustryCode,PopulationSize,SampleSize,Stratum,AnnualTurnoverTotal,AnnualTurnoverDomestic,AnnualInventories,Netto,IndHandTj,SampleOccasion,Bgrupp
3,3428757,,1489319,00,002,10112,203,21,100000001,26980.3038988602,21172.3038988602,0,1,,2023,10000
3,3428758,,1490663,00,002,32990,210,5,321XX0001,1415.0304933036,1415.0304933036,0,1,,2023,321XX
3,3428759,,1490713,00,002,32990,175,5,321XX0002,4453.1949103078,4453.1949103078,0,1,,2023,321XX
3,3428760,,1491547,00,002,33150,1019,15,330000001,3811.6501256031,3811.6501256031,0,1,,2023,33000
3,3428761,,1491893,00,002,32990,210,5,321XX0001,1727.6427331444,1202.6427331444,0,1,,2023,321XX
3,3428762,,1492446,00,002,25620,889,29,255XX0001,18474.2415782563,17342.2415782563,0,1,,2023,255XX
3,3428763,,1492867,00,002,33120,416,15,330000002,13729.7507954726,13729.7507954726,0,1,,2023,33000
3,3428764,,1494566,00,002,25620,618,68,255XX0002,49405.9437463617,48225.9437463617,0,1,,2023,255XX
3,3428765,,1495803,00,002,25610,889,29,255XX0001,8377.0243594791,8377.0243594791,0,1,,2023,255XX
3,3428766,,1497379,00,002,16240,191,27,162000002,54400.0274443580,54400.0274443580,0,1,,2023,16200
3,3428767,,1497692,00,002,25620,618,68,255XX0002,73130.9422085795,70660.9422085795,0,1,,2023,255XX
3,3428768,,1498583,00,002,25610,889,29,255XX0001,9795.5181998130,8506.5181998130,0,1,,2023,255XX
3,3428769,,1498773,00,002,25620,618,68,255XX0002,41225.8735234916,34600.8735234916,0,1,,2023,255XX
3,3428770,,1499508,00,002,25610,889,29,255XX0001,12776.8893351933,9885.8893351933,0,1,,2023,255XX
3,3428771,,1500131,00,002,33200,416,15,330000002,25544.2599122032,24662.2599122032,0,1,,2023,33000
3,3428772,,1500834,00,002,25110,64,16,251XX0003,104313.7062293900,76011.7062293906,0,1,,2023,251XX
3,3428773,,1500917,00,002,25620,889,29,255XX0001,19280.6004097170,18648.6004097170,0,1,,2023,255XX
3,3428774,,1503572,00,002,25620,889,29,255XX0001,14034.2723567054,13506.2723567054,0,1,,2023,255XX
3,3428775,,1503903,00,002,32990,29,5,321XX0004,56946.6035402807,1970.6035402807,0,1,,2023,321XX
3,3428776,,1504596,00,002,33110,416,15,330000002,17561.1124058587,17561.1124058587,0,1,,2023,33000
3,3428777,,1506013,00,002,31012,184,6,310000001,20717.7487525641,16655.7487525641,0,1,,2023,31000
3,3428778,,1506765,00,002,25620,618,68,255XX0002,31044.6674612437,27840.6674612437,0,1,,2023,255XX
3,3428779,,1507128,00,002,25620,618,68,255XX0002,31117.5300100814,20119.5300100814,0,1,,2023,255XX
3,3428780,,1507565,00,002,10112,203,21,100000001,65673.5598243378,65656.5598243378,0,1,,2023,10000
3,3428781,,1507755,00,002,25210,27,15,251XX0004,475601.7575107210,106898.7575107210,0,1,,2023,251XX
3,3428782,,1509512,00,002,13922,87,5,139000001,4251.7840439916,3665.7840439916,0,1,,2023,13900
3,3428783,,1510817,00,002,25620,889,29,255XX0001,21242.0482887376,5384.0482887376,0,1,,2023,255XX
3,3428784,,1511278,00,002,33120,1019,15,330000001,4185.0422299027,4185.0422299027,0,1,,2023,33000
3,3428785,,1514405,00,002,25620,889,29,255XX0001,13784.2214996318,12136.2214996318,0,1,,2023,255XX
3,3428786,,1514561,00,002,25999,889,29,255XX0001,13928.5156667812,13095.5156667812,0,1,,2023,255XX
3,3428787,,1515071,00,002,25610,889,29,255XX0001,9725.6284703219,9725.6284703219,0,1,,2023,255XX
3,3428788,,1515550,00,002,25110,64,16,251XX0003,133653.9062436750,133662.9062436750,0,1,,2023,251XX
3,3428789,,1515741,00,002,25110,150,10,251XX0001,33969.0673038659,25951.0673038659,0,1,,2023,251XX
3,3428790,,1516376,00,002,25620,889,29,255XX0001,20575.7620846006,19570.7620846006,0,1,,2023,255XX
3,3428791,,1517432,00,002,22290,109,21,220000002,81740.1553622882,34754.1553622882,0,1,,2023,22000
3,3428792,,1519115,00,002,31090,184,6,310000001,21752.2467421591,14005.2467421591,0,1,,2023,31000
3,3428793,,1519230,00,002,25110,64,16,251XX0003,98533.2706515671,80727.2706515671,0,1,,2023,251XX
3,3428794,,1519669,00,002,16240,191,27,162000002,84015.5844702895,84015.5844702895,0,1,,2023,16200
3,3428795,,1520675,00,002,17219,36,13,172000001,97879.4126069951,94549.4126069951,0,1,,2023,17200
3,3428796,,1521079,00,002,28290,173,28,280000001,63607.0898702102,9954.0898702102,0,1,,2023,28000
3,3428797,,1521913,00,002,25620,889,29,255XX0001,10692.2146132804,10692.2146132804,0,1,,2023,255XX
3,3428798,,1522184,00,002,25720,202,56,255XX0003,191956.4312331080,82019.4312331082,0,1,,2023,255XX
3,3428799,,1522341,00,002,18122,274,5,180000001,7564.4916519346,7564.4916519346,0,1,,2023,18000
3,3428800,,1523752,00,002,25999,889,29,255XX0001,19484.3090221350,18550.3090221350,0,1,,2023,255XX
3,3428801,,1525096,00,002,16239,48,12,162000003,102708.5703409550,96605.5703409553,0,1,,2023,16200
3,3428802,,1525856,00,002,31011,93,7,310000002,34892.4883111225,22988.4883111225,0,1,,2023,31000
3,3428803,,1527068,00,002,17240,36,13,172000001,116706.2295758360,33641.2295758367,0,1,,2023,17200
3,3428804,,1527506,00,002,32502,71,5,325000001,9510.7940736215,9510.7940736215,0,1,,2023,32500
3,3428805,,1527647,00,002,16231,191,27,162000002,52439.5937155985,51635.5937155985,0,1,,2023,16200
3,3428806,,1527696,00,002,31090,184,6,310000001,8215.1072240410,8215.1072240410,0,1,,2023,31000
3,3428807,,1527902,00,002,25500,889,29,255XX0001,22563.6969727819,22520.6969727819,0,1,,2023,255XX
3,3428808,,1527910,00,002,18140,274,5,180000001,3595.4567350363,3595.4567350363,0,1,,2023,18000
3,3428809,,1528272,00,002,25620,889,29,255XX0001,18296.8351633091,18296.8351633091,0,1,,2023,255XX
3,3428810,,1528587,00,002,16239,189,5,162000001,13184.1474067683,13184.1474067683,0,1,,2023,16200
3,3428811,,1530625,00,002,31012,184,6,310000001,8263.6964026272,8263.6964026272,0,1,,2023,31000
3,3428812,,1531664,00,002,26110,24,5,261000001,26783.8549697763,26707.8549697763,0,1,,2023,26100
3,3428813,,1532563,00,002,33120,181,17,330000003,43469.5351361110,43345.5351361110,0,1,,2023,33000
3,3428814,,1532761,00,002,25730,618,68,255XX0002,41831.3317150550,42017.3317150550,0,1,,2023,255XX
